rule,size,length,mean_residual,delta_from_global,q_residual,q_signed,expr,operator,threshold,n_ops,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
(temp * DMC) / DMC > 24.6,73,3,3440.7120734492796,2878.008898927367,3.7699391006448884,3.7699391006448884,(temp * DMC) / DMC,>,24.6,2,1,3,0,0,0.1,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.4788008279060027,3.7699391006448884,0.000999000999000999
(temp / RH) + temp > 25.22,74,3,3394.360162666992,2831.6569881450796,3.734541381644367,3.734541381644367,(temp / RH) + temp,>,25.22,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.47654768417679044,3.734541381644367,0.000999000999000999
(X - RH) > -22,65,2,3511.2547022665626,2948.5515277446502,3.6445689615123174,3.6445689615123174,(X - RH),>,-22.0,1,1,3,0,0,0.0,0,0,8,4.0,0.2,0.06081006262521797,8.0,False,0.47077220265377784,3.6445689615123174,0.000999000999000999
(Y - RH) > -23,67,2,3382.584348450265,2819.881173928353,3.538742660555446,3.538742660555446,(Y - RH),>,-23.0,1,1,3,0,0,0.0,0,0,8,4.0,0.2,0.06081006262521797,8.0,False,0.4638870151264283,3.538742660555446,0.001998001998001998
(RH / Y) <= 6,76,2,3138.208401014159,2575.505226492246,3.442310201007833,3.442310201007833,(RH / Y),<=,6.0,1,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.457522785114264,3.442310201007833,0.000999000999000999
(RH / temp) <= 1.21,74,2,3155.050279801154,2592.347105279241,3.4189266499376214,3.4189266499376214,(RH / temp),<=,1.21,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.45596616507558263,3.4189266499376214,0.000999000999000999
(temp - RH) > -4.87,74,2,3147.585119821694,2584.8819452997814,3.4090811958516904,3.4090811958516904,(temp - RH),>,-4.87,1,1,3,0,0,0.01,0,0,8,4.0,0.2,0.06081006262521797,8.0,False,0.4553091707995725,3.4090811958516904,0.000999000999000999
(RH - temp) <= 4.87,74,2,3147.585119821694,2584.8819452997814,3.4090811958516904,3.4090811958516904,(RH - temp),<=,4.87,1,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.4553091707995725,3.4090811958516904,0.000999000999000999
(RH / X) <= 5,76,2,3091.286235668979,2528.5830611470665,3.37959604039979,3.37959604039979,(RH / X),<=,5.0,1,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.45333590952476943,3.37959604039979,0.001998001998001998
(temp - RH) / temp > -0.21,74,3,3155.050279801154,2592.347105279241,3.4189266499376214,3.4189266499376214,(temp - RH) / temp,>,-0.21,2,1,4,0,0,0.01,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.32131392584347984,3.4189266499376214,0.000999000999000999
(temp + RH) / temp <= 2.21,74,3,3155.050279801154,2592.347105279241,3.4189266499376214,3.4189266499376214,(temp + RH) / temp,<=,2.21,2,1,4,0,0,0.01,0,0,11,5.0,0.16666666666666666,0.0301973834223185,11.0,False,0.32131392584347984,3.4189266499376214,0.000999000999000999
