rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
(target * cylinders) > 140.51,2,57,3.0012710526315827,1.927629220973291,5.063530973049757,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7874401039495128,5.063530973049757,0.000999000999000999,L_symb,,5.063530973049757,(target * cylinders),>,140.51,1.0
(target * model) > 2583.07,2,57,2.9963679649122827,1.922726133253991,5.050651454385001,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7864380061102819,5.050651454385001,0.000999000999000999,L_symb,,5.050651454385001,(target * model),>,2583.07,1.0
(target * weight) > 74701.7,2,57,2.993985315789468,1.9203434841311762,5.04439266898166,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.785950576657986,5.04439266898166,0.000999000999000999,L_symb,,5.04439266898166,(target * weight),>,74701.71,1.0
(cylinders - model) <= -74,2,119,2.4011146638655485,1.3274728322072569,5.0383886414116645,1,4,0,0,0.0,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.39005916683929176,5.0383886414116645,0.000999000999000999,L_symb,,5.0383886414116645,(cylinders - model),<=,-74.0,1.0
model > 77 AND displacement*model <= 7644,2,33,3.5581431212121353,2.484501289553844,4.965794444657174,1,4,0,0,0.0,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.38723894282694743,4.965794444657174,0.001998001998001998,L_poly,,,,,,
displacement <= 98 AND model > 78,2,35,3.4714566857143008,2.3978148540560094,4.935625624230206,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5478464231005523,4.935625624230206,0.000999000999000999,L_poly,,,,,,
model > 77 AND acceleration*horsepower <= 1721,2,120,2.367031275000002,1.2933894433417106,4.9296090332163125,1,4,0,0,0.0,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.38582547103341663,4.9296090332163125,0.000999000999000999,L_poly,,,,,,
(target + origin) > 35.06,2,57,2.9408413684210584,1.8671995367627667,4.904793195907581,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7749990039286313,4.904793195907581,0.000999000999000999,L_symb,,4.904793195907581,(target + origin),>,35.06,1.0
horsepower*origin > 90 AND model > 79,2,56,2.9568131250000063,1.8831712933417146,4.903163559022473,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5460418327251523,4.903163559022473,0.000999000999000999,L_poly,,,,,,
weight <= 3085 AND model > 78.8,2,96,2.5106759791666655,1.4370341475083739,4.898862461547506,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5458022838712141,4.898862461547506,0.000999000999000999,L_poly,,,,,,
model > 80 AND displacement*horsepower > 1.414e+04,2,12,5.121000250000005,4.047358418341713,4.878146405073875,1,4,0,0,0.001,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.3838062758530929,4.878146405073875,0.001998001998001998,L_poly,,,,,,
model > 77 AND origin > 1,2,69,2.7574329710145005,1.6837911393562088,4.866372026798783,1,2,0,0,0.0,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7719576004885265,4.866372026798783,0.000999000999000999,L_poly,,,,,,
acceleration <= 14.8 AND origin > 2,2,23,3.9788091739130467,2.905167342254755,4.847609337759858,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5429396167270983,4.847609337759858,0.000999000999000999,L_poly,,,,,,
(acceleration - target) <= -16.79,2,57,2.914265438596494,1.8406236069382025,4.8349830673101675,1,4,0,0,0.01,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.38210448508749895,4.8349830673101675,0.000999000999000999,L_symb,,4.8349830673101675,(acceleration - target),<=,-16.79,1.0
(target - acceleration) > 16.79,2,57,2.914265438596494,1.8406236069382025,4.8349830673101675,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7694639413815634,4.8349830673101675,0.000999000999000999,L_symb,,4.8349830673101675,(target - acceleration),>,16.79,1.0
(model - acceleration) > 64.8,2,53,2.97904860377358,1.9054067721152885,4.826342976151956,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7687761198056527,4.826342976151956,0.000999000999000999,L_symb,,4.826342976151956,(model - acceleration),>,64.8,1.0
model > 75 AND model*origin > 80,2,124,2.3163662419354893,1.2427244102771977,4.8147995749061705,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5410991255564152,4.8147995749061705,0.000999000999000999,L_poly,,,,,,
origin > 2 AND acceleration <= 14.5,2,20,4.164579050000016,3.0909372183417245,4.809475576714561,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5407998807456126,4.809475576714561,0.000999000999000999,L_poly,,,,,,
(target / model) - model <= -78.57,3,113,2.3566889999999994,1.2830471683417077,4.745417047890683,1,5,0,0,0.01,0,0,12,6.0,0.14285714285714285,0.014995576820477717,12.0,False,0.2667588159496314,4.745417047890683,0.000999000999000999,L_symb,,4.745417047890683,(target / model) - model,<=,-78.57000000000001,2.0
(displacement / model) <= 1.21,2,56,2.8121170714285837,1.738475239770292,4.526422250616693,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5246446612024,4.526422250616693,0.000999000999000999,L_symb,,4.526422250616693,(displacement / model),<=,1.21,1.0
(target - displacement) > -62.21,2,57,2.790009754385972,1.7163679227276802,4.508586009861645,1,3,0,0,0.01,0,0,8,4.0,0.2,0.06081006262521797,8.0,False,0.5236099670660102,4.508586009861645,0.001998001998001998,L_symb,,4.508586009861645,(target - displacement),>,-62.21,1.0
(displacement - target) <= 62.21,2,57,2.790009754385972,1.7163679227276802,4.508586009861645,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5236099670660102,4.508586009861645,0.001998001998001998,L_symb,,4.508586009861645,(displacement - target),<=,62.21,1.0
(target + acceleration) > 50,2,56,2.798156214285726,1.7245143826274345,4.490072734118856,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7415108020900951,4.490072734118856,0.000999000999000999,L_symb,,4.490072734118856,(target + acceleration),>,50.0,1.0
(displacement / weight) <= 0.04,2,11,4.932933272727247,3.8592914410689554,4.453448769478515,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5203984036968105,4.453448769478515,0.000999000999000999,L_symb,,4.453448769478515,(displacement / weight),<=,0.04,1.0
(acceleration - model) <= -64.8,2,58,2.734000793103443,1.6603589614451513,4.39955274967999,1,4,0,0,0.1,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.36449277258788315,4.39955274967999,0.000999000999000999,L_symb,,4.39955274967999,(acceleration - model),<=,-64.8,1.0
model > 79.5 AND displacement <= 212.5 AND acceleration > 13.85 AND displacement <= 99.0,4,28,2.6360572857142937,1.562415454056002,2.8765245406342568,1,6,0,0,0.31000000000000005,0,0,0,7.0,0.125,0.007446583070924344,0.0,False,0.14635668398602603,2.8765245406342568,0.01898101898101898,L_tree,18.0,,,,,
model <= 79.5 AND displacement <= 90.5 AND model > 77.5,3,7,3.803953714285773,2.7303118826274817,2.5133549190053532,1,5,0,0,0.30000000000000004,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.19413708240588742,2.5133549190053532,0.056943056943056944,L_tree,6.0,,,,,
model <= 79.5 AND displacement <= 90.5 AND model <= 77.5 AND weight > 2091.0,4,6,3.1971826666666647,2.123540835008373,1.8097924987069842,1,7,0,0,0.4,0,0,0,8.0,0.1111111111111111,0.003697863716482932,0.0,False,0.08180688244476464,1.8097924987069842,0.05094905094905095,L_tree,5.0,,,,,
model <= 79.5 AND displacement > 90.5 AND weight <= 3199.0 AND acceleration <= 13.35,4,10,1.2353866999999843,0.16174486834169266,0.1779602686188372,1,7,0,0,0.31000000000000005,0,0,0,8.0,0.1111111111111111,0.003697863716482932,0.0,False,0.025652930052942377,0.1779602686188372,0.8601398601398601,L_tree,9.0,,,,,
