rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops,dataset
Husband_Occupation <= 1 AND Children*Husband_Education <= 8,2,190,26.30992495281719,13.542549503562988,6.876260168251294,1,7,0,0,0.0,1,1,0,8.0,0.1111111111111111,0.0036978637164829,2.0,False,0.1594599416194339,6.876260168251294,0.0009990009990009,L_poly,,,,,,,cmc
(Husband_Education / Contraceptive_Method) > 3,2,338,22.9191248571621,10.151749407907896,6.8750253976290585,1,3,0,0,0.0,0,0,7,4.0,0.2,0.0608100626252179,7.0,False,0.6465838885866142,6.8750253976290585,0.0009990009990009,L_symb,,6.8750253976290585,(Husband_Education / Contraceptive_Method),>,3.0,1.0,cmc
(Husband_Education - Contraceptive_Method) > 2,2,338,22.9191248571621,10.151749407907896,6.8750253976290585,1,3,0,0,0.0,0,0,7,4.0,0.2,0.0608100626252179,7.0,False,0.6465838885866142,6.8750253976290585,0.0009990009990009,L_symb,,6.8750253976290585,(Husband_Education - Contraceptive_Method),>,2.0,1.0,cmc
(Contraceptive_Method / Husband_Education) <= 0.33,2,338,22.9191248571621,10.151749407907896,6.8750253976290585,1,4,0,0,0.01,0,0,9,5.0,0.1666666666666666,0.0301973834223185,9.0,False,0.4556399652909986,6.8750253976290585,0.0009990009990009,L_symb,,6.8750253976290585,(Contraceptive_Method / Husband_Education),<=,0.33,1.0,cmc
(Contraceptive_Method / Husband_Education) <= 0.25,2,338,22.9191248571621,10.151749407907896,6.8750253976290585,1,4,0,0,0.01,0,0,9,5.0,0.1666666666666666,0.0301973834223185,9.0,False,0.4556399652909986,6.8750253976290585,0.0009990009990009,L_symb,,6.8750253976290585,(Contraceptive_Method / Husband_Education),<=,0.25,1.0,cmc
(Contraceptive_Method - Husband_Education) <= -3,2,338,22.9191248571621,10.151749407907896,6.8750253976290585,1,5,0,0,0.0,0,0,10,6.0,0.1428571428571428,0.0149955768204777,10.0,False,0.3210840567404148,6.8750253976290585,0.0009990009990009,L_symb,,6.8750253976290585,(Contraceptive_Method - Husband_Education),<=,-3.0,1.0,cmc
Contraceptive_Method <= 1 AND Husband_Education > 3,2,338,22.9191248571621,10.151749407907896,6.8750253976290585,1,4,0,0,0.0,1,1,0,5.0,0.1666666666666666,0.0301973834223185,2.0,False,0.4556399652909986,6.8750253976290585,0.0009990009990009,L_poly,,,,,,,cmc
Husband_Education*SOLI > 6 AND Contraceptive_Method <= 1,2,435,21.68296211876125,8.915586669507043,6.849669586856689,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3204914140575365,6.849669586856689,0.0009990009990009,L_poly,,,,,,,cmc
Contraceptive_Method*Husband_Education <= 4 AND SOLI > 2,2,451,21.516848421006504,8.7494729717523,6.844555237825002,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3203717432465103,6.844555237825002,0.0009990009990009,L_poly,,,,,,,cmc
Contraceptive_Method <= 1 AND Husband_Education*Husband_Occupation <= 4,2,227,24.995852164884923,12.22847671563072,6.786726650759187,1,7,0,0,0.0,1,1,0,8.0,0.1111111111111111,0.0036978637164829,2.0,False,0.1584184024522723,6.786726650759187,0.0009990009990009,L_poly,,,,,,,cmc
Wife_Education > 3 AND Children*Husband_Occupation <= 3,2,291,23.56670157116993,10.799326121915724,6.786068180627693,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3190000105197522,6.786068180627693,0.0009990009990009,L_poly,,,,,,,cmc
(Wife_Education - Children) > 2,2,191,25.824651457274197,13.057276008019992,6.647285559772248,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,False,0.9022210633915244,6.647285559772248,0.0009990009990009,L_symb,,6.647285559772248,(Wife_Education - Children),>,2.0,1.0,cmc
(Husband_Occupation / Wife_religion) <= 1,2,364,21.816061364338232,9.048685915084029,6.359328704305682,1,4,0,0,0.0,0,0,9,5.0,0.1666666666666666,0.0301973834223185,9.0,False,0.4382180817726199,6.359328704305682,0.0009990009990009,L_symb,,6.359328704305682,(Husband_Occupation / Wife_religion),<=,1.0,1.0,cmc
(Husband_Occupation - Wife_religion) <= 0,2,364,21.816061364338232,9.048685915084029,6.359328704305682,1,4,0,0,0.0,0,0,9,5.0,0.1666666666666666,0.0301973834223185,9.0,False,0.4382180817726199,6.359328704305682,0.0009990009990009,L_symb,,6.359328704305682,(Husband_Occupation - Wife_religion),<=,0.0,1.0,cmc
(Wife_religion / Husband_Occupation) > 0.5,2,364,21.816061364338232,9.048685915084029,6.359328704305682,1,3,0,0,0.1,0,0,7,4.0,0.2,0.0608100626252179,7.0,False,0.6218610590503113,6.359328704305682,0.0009990009990009,L_symb,,6.359328704305682,(Wife_religion / Husband_Occupation),>,0.5,1.0,cmc
(Wife_religion - Husband_Occupation) > -1,2,364,21.816061364338232,9.048685915084029,6.359328704305682,1,4,0,0,0.0,0,0,8,5.0,0.1666666666666666,0.0301973834223185,8.0,False,0.4382180817726199,6.359328704305682,0.0009990009990009,L_symb,,6.359328704305682,(Wife_religion - Husband_Occupation),>,-1.0,1.0,cmc
(Husband_Education / Husband_Occupation) > 3,2,399,21.02299925666034,8.255623807406138,6.074512226641989,1,4,0,0,0.0,0,0,7,5.0,0.1666666666666666,0.0301973834223185,7.0,False,0.4282923940621288,6.074512226641989,0.0009990009990009,L_symb,,6.074512226641989,(Husband_Education / Husband_Occupation),>,3.0,1.0,cmc
(Husband_Occupation - Husband_Education) <= -3,2,399,21.02299925666034,8.255623807406138,6.074512226641989,1,6,0,0,0.0,0,0,10,7.0,0.125,0.0074465830709243,10.0,False,0.2126837086168923,6.074512226641989,0.0009990009990009,L_symb,,6.074512226641989,(Husband_Occupation - Husband_Education),<=,-3.0,1.0,cmc
